"tyear","tmonth","id_sepomex","mean_absorption","total_units","total_available_units","ratio_available_to_total","cumulative_mean_absorption","delta_available_units","delta_ratio_available_to_total"
2008,10,11068.0,0.4266666666666667,24,7,0.29166666666666666667,0.3154166666666667,0.4000000000000000,0.108333333333333333359
2009,1,11068.0,0.32666666666666666,24,6,0.25000000000000000000,0.31766666666666665,-0.14285714285714285714,-0.142857142857142857153
2009,4,11068.0,0.2833333333333333,24,5,0.20833333333333333333,0.3119444444444444,-0.16666666666666666667,-0.166666666666666666680
2009,7,11068.0,0.19,10,4,0.40000000000000000000,0.2945238095238095,-0.20000000000000000000,0.920000000000000000031
2009,10,11068.0,0.21,10,3,0.30000000000000000000,0.2839583333333333,-0.25000000000000000000,-0.250000000000000000000
2010,1,11068.0,0.19,10,3,0.30000000000000000000,0.2735185185185185,0.00000000000000000000,0.000000000000000000000
2010,4,11068.0,0.22,10,1,0.10000000000000000000,0.26816666666666666,-0.66666666666666666667,-0.666666666666666666667
2010,7,11068.0,0.21,10,1,0.10000000000000000000,0.2628787878787879,0.00000000000000000000,0.000000000000000000000
2011,4,11068.0,1.39,62,44,0.70967741935483870968,0.35680555555555554,43.0000000000000000,6.096774193548387096800
2011,7,11068.0,1.79,62,34,0.54838709677419354839,0.46705128205128205,-0.22727272727272727273,-0.227272727272727272726
2011,10,11068.0,1.6,62,32,0.51612903225806451613,0.5479761904761905,-0.05882352941176470588,-0.058823529411764705886
2012,1,11068.0,1.92,62,20,0.32258064516129032258,0.6394444444444445,-0.37500000000000000000,-0.375000000000000000002
2012,4,11068.0,1.67,62,20,0.32258064516129032258,0.7038541666666667,0.00000000000000000000,0.000000000000000000000
2012,7,11068.0,1.9,62,9,0.14516129032258064516,0.7742156862745099,-0.55000000000000000000,-0.550000000000000000003
2012,10,11068.0,1.73,62,9,0.14516129032258064516,0.8273148148148148,0.00000000000000000000,0.000000000000000000000
2013,1,11068.0,1.53,62,10,0.16129032258064516129,0.8642982456140351,0.1111111111111111,0.111111111111111111119
2013,4,11068.0,1.56,62,5,0.08064516129032258065,0.8990833333333332,-0.50000000000000000000,-0.499999999999999999969
2013,7,11068.0,1.52,62,3,0.04838709677419354839,0.9286507936507936,-0.40000000000000000000,-0.400000000000000000000
2013,10,11068.0,1.44,62,1,0.01612903225806451613,0.9518939393939394,-0.66666666666666666667,-0.666666666666666666667
2014,1,11068.0,1.06,62,1,0.01612903225806451613,0.9565942028985507,0.00000000000000000000,0.000000000000000000000
2016,7,11068.0,0.62,8,6,0.75000000000000000000,0.9425694444444445,5.0000000000000000,45.499999999999999997210
2016,10,11068.0,0.49,8,5,0.62500000000000000000,0.9244666666666665,-0.16666666666666666667,-0.166666666666666666667
2017,1,11068.0,0.32,8,5,0.62500000000000000000,0.9012179487179487,0.00000000000000000000,0.000000000000000000000
2017,4,11068.0,0.16,8,6,0.75000000000000000000,0.8737654320987653,0.2000000000000000,0.200000000000000000000
2017,7,11068.0,0.32,8,3,0.37500000000000000000,0.8539880952380952,-0.50000000000000000000,-0.500000000000000000000
2017,10,11068.0,0.27,8,3,0.37500000000000000000,0.8338505747126436,0.00000000000000000000,0.000000000000000000000
2018,1,11068.0,0.24,8,3,0.37500000000000000000,0.8140555555555554,0.00000000000000000000,0.000000000000000000000
2018,4,11068.0,0.2,8,3,0.37500000000000000000,0.7942473118279568,0.00000000000000000000,0.000000000000000000000
2018,7,11068.0,0.22,8,2,0.25000000000000000000,0.7763020833333332,-0.33333333333333333333,-0.333333333333333333333
2008,1,11069.0,0.49250000000000005,28,8,0.28571428571428571429,0.49250000000000005,,
2008,4,11069.0,0.44333333333333336,23,5,0.21739130434782608696,0.4679166666666667,-0.37500000000000000000,-0.239130434782608695651
2008,7,11069.0,0.58,6,2,0.33333333333333333333,0.5052777777777778,-0.60000000000000000000,0.533333333333333333293
2008,10,11069.0,0.495,10,2,0.20000000000000000000,0.5027083333333333,0.00000000000000000000,-0.399999999999999999994
2009,1,11069.0,0.2333333333333333,15,7,0.46666666666666666667,0.4488333333333333,2.5000000000000000,1.333333333333333333350
2009,4,11069.0,0.12,5,3,0.60000000000000000000,0.3940277777777778,-0.57142857142857142857,0.285714285714285714277
2009,7,11069.0,0.05333333333333334,21,18,0.85714285714285714286,0.34535714285714286,5.0000000000000000,0.428571428571428571433
2009,10,11069.0,0.1,27,19,0.70370370370370370370,0.3146875,0.0555555555555556,-0.179012345679012345686
2010,1,11069.0,0.20500000000000002,27,12,0.44444444444444444444,0.3025,-0.36842105263157894737,-0.368421052631578947371
2010,4,11069.0,0.22666666666666666,22,8,0.36363636363636363636,0.29491666666666666,-0.33333333333333333333,-0.181818181818181818182
2010,7,11069.0,0.27666666666666667,22,4,0.18181818181818181818,0.2932575757575758,-0.50000000000000000000,-0.500000000000000000000
2010,10,11069.0,2.35,29,10,0.34482758620689655172,0.4646527777777778,1.5000000000000000,0.896551724137931034479
2011,1,11069.0,1.365,29,9,0.31034482758620689655,0.5339102564102565,-0.10000000000000000000,-0.099999999999999999994
2011,4,11069.0,1.1700000000000002,29,5,0.17241379310344827586,0.5793452380952381,-0.44444444444444444444,-0.444444444444444444448
2011,7,11069.0,0.23,11,5,0.45454545454545454545,0.5560555555555556,0.00000000000000000000,1.636363636363636363642
2011,10,11069.0,0.15,5,4,0.80000000000000000000,0.5306770833333334,-0.20000000000000000000,0.760000000000000000018
2012,1,11069.0,0.1,5,4,0.80000000000000000000,0.505343137254902,0.00000000000000000000,0.000000000000000000000
2012,4,11069.0,0.23,5,2,0.40000000000000000000,0.49004629629629637,-0.50000000000000000000,-0.500000000000000000000
2012,7,11069.0,0.0,6,6,1.00000000000000000000,0.46425438596491236,2.0000000000000000,1.500000000000000000000
2012,10,11069.0,0.56,6,4,0.66666666666666666667,0.46904166666666675,-0.33333333333333333333,-0.333333333333333333330
2013,1,11069.0,0.31,6,4,0.66666666666666666667,0.4614682539682541,0.00000000000000000000,0.000000000000000000000
2013,4,11069.0,0.52,6,1,0.16666666666666666667,0.464128787878788,-0.75000000000000000000,-0.749999999999999999996
2014,4,11069.0,0.62,7,4,0.57142857142857142857,0.4709057971014493,3.0000000000000000,2.428571428571428571351
2014,7,11069.0,2.73,24,17,0.70833333333333333333,0.5650347222222223,3.2500000000000000,0.239583333333333333331
2014,10,11069.0,1.51,24,16,0.66666666666666666667,0.6028333333333333,-0.05882352941176470588,-0.058823529411764705873
2015,1,11069.0,0.68,7,5,0.71428571428571428571,0.6058012820512821,-0.68750000000000000000,0.071428571428571428560
2015,4,11069.0,0.13,17,15,0.88235294117647058824,0.588179012345679,2.0000000000000000,0.235294117647058823543
2015,7,11069.0,0.5833333333333334,73,31,0.42465753424657534247,0.5880059523809524,1.0666666666666667,-0.518721461187214611870
2015,10,11069.0,0.5557142857142857,65,17,0.26153846153846153846,0.5868924466338259,-0.45161290322580645161,-0.384119106699751861052
2016,1,11069.0,1.3557142857142856,73,19,0.26027397260273972603,0.6125198412698413,0.1176470588235294,-0.004834810636583400468
2016,4,11069.0,0.7333333333333334,68,15,0.22058823529411764706,0.6164170506912442,-0.21052631578947368421,-0.152476780185758513936
2016,7,11069.0,0.5616666666666666,79,27,0.34177215189873417722,0.6147061011904762,0.8000000000000000,0.549367088607594936722
2016,10,11069.0,0.4557142857142858,87,30,0.34482758620689655172,0.6098881673881674,0.1111111111111111,0.008939974457215836500
2017,1,11069.0,0.6160000000000001,76,20,0.26315789473684210526,0.6100679271708683,-0.33333333333333333333,-0.236842105263157894737
2017,4,11069.0,0.51,76,19,0.25000000000000000000,0.607208843537415,-0.05000000000000000000,-0.049999999999999999989
2017,7,11069.0,0.33,29,13,0.44827586206896551724,0.5995085978835979,-0.31578947368421052632,0.793103448275862068960
2017,10,11069.0,0.2866666666666667,29,12,0.41379310344827586207,0.5910534105534105,-0.07692307692307692308,-0.076923076923076923072
2018,1,11069.0,0.08,8,6,0.75000000000000000000,0.5776046365914786,-0.50000000000000000000,0.812499999999999999995
2018,4,11069.0,0.24333333333333332,15,11,0.73333333333333333333,0.5690335775335774,0.8333333333333333,-0.022222222222222222227
2018,7,11069.0,0.2333333333333333,15,9,0.60000000000000000000,0.5606410714285713,-0.18181818181818181818,-0.181818181818181818178
2018,10,11069.0,0.05333333333333334,16,14,0.87500000000000000000,0.5482677119628339,0.5555555555555556,0.458333333333333333333
2019,1,11069.0,0.07,16,12,0.75000000000000000000,0.5368803854875284,-0.14285714285714285714,-0.142857142857142857143
2019,4,11069.0,0.06,16,12,0.75000000000000000000,0.5257901439645625,0.00000000000000000000,0.000000000000000000000
2019,7,11069.0,0.05000000000000001,16,12,0.75000000000000000000,0.5149767316017315,0.00000000000000000000,0.000000000000000000000
2019,10,11069.0,0.05000000000000001,16,12,0.75000000000000000000,0.5046439153439153,0.00000000000000000000,0.000000000000000000000
2020,1,11069.0,0.092,27,18,0.66666666666666666667,0.4956733954451345,0.5000000000000000,-0.111111111111111111107
2020,4,11069.0,0.06000000000000001,27,19,0.70370370370370370370,0.48640374873353587,0.0555555555555556,0.055555555555555555545
2020,7,11069.0,0.09000000000000001,42,31,0.73809523809523809524,0.4781453373015872,0.6315789473684211,0.048872180451127819557
2020,10,11069.0,0.09000000000000001,42,31,0.73809523809523809524,0.4702240038872691,0.00000000000000000000,0.000000000000000000000
2021,1,11069.0,0.11666666666666668,29,13,0.44827586206896551724,0.4631528571428571,-0.58064516129032258065,-0.392658509454949944386
2021,4,11069.0,0.098417439,14,7,0.50000000000000000000,0.45600118227731085,-0.46153846153846153846,0.115384615384615384619
2021,10,11069.0,0.08035500000000001,8,3,0.37500000000000000000,0.4487772172335164,-0.57142857142857142857,-0.250000000000000000000
2022,1,11069.0,0.10104333333333333,11,5,0.45454545454545454545,0.44221620055615446,0.6666666666666667,0.212121212121212121200
2022,4,11069.0,0.040234,3,2,0.66666666666666666667,0.43477208573104054,-0.60000000000000000000,0.466666666666666666689
