"tyear","tmonth","id_sepomex","capital_gain","delta_capital_gain_index"
2017,1,11065,1.0340031758350765,0.034003175835076505
2017,4,11065,1.0756566438966613,0.04028369451374725
2017,7,11065,1.1164846750045538,0.03795637886825065
2017,10,11065,1.1547359203411702,0.03426043025307113
2018,1,11065,1.1979265168193245,0.03740300766377258
2018,4,11065,1.2322638516553217,0.02866397425375311
2018,7,11065,1.2612890012380717,0.02355433014103281
2018,10,11065,1.2951480630583485,0.02684480859425631
2019,1,11065,1.3163340040756861,0.01635792973917538
2019,4,11065,1.340416043309605,0.018294778649913468
2019,7,11065,1.3647627910393767,0.01816357529536683
2019,10,11065,1.3850402241597068,0.014857844347358817
2020,1,11065,1.3995004752182507,0.010440311267722713
2020,4,11065,1.4116958843888145,0.008714115776675246
2020,7,11065,1.41959551444497,0.0055958440791059605
2020,10,11065,1.4279190040922234,0.0058632825777191755
2021,1,11065,1.4409290902969878,0.009111221412054338
2021,4,11065,1.4545207305266934,0.00943255315006808
2021,7,11065,1.4475373364044317,-0.004801165068120339
2021,10,11065,1.4611892975945562,0.009431163429632017
2022,1,11065,1.4752337543770897,0.009611661408726269
2022,4,11065,1.4853185697803655,0.006836079620164304
2022,7,11065,1.5136250700584983,0.019057528030716364
2022,10,11065,1.5382909698132932,0.016295911215213676
2023,1,11065,1.5667172671819298,0.018479142065097598
2023,4,11065,1.6010437209290813,0.02190979474483923
2017,1,11066,1.047579744900782,0.047579744900781984
2017,4,11066,1.114546592713854,0.06392529842147199
2017,7,11066,1.1757887902198636,0.05494808194324885
2017,10,11066,1.2383016412649996,0.05316673501662361
2018,1,11066,1.271457632633108,0.026775375452331218
2018,4,11066,1.3135319396616962,0.03309139522129034
2018,7,11066,1.3517258651326534,0.029077271985326947
2018,10,11066,1.38831337309691,0.027067254469282487
2019,1,11066,1.4384896631884843,0.03614190503664605
2019,4,11066,1.4723376792820333,0.023530246313013592
2019,7,11066,1.5031598874294652,0.020934197759892914
2019,10,11066,1.5299928893341228,0.017851063036643744
2020,1,11066,1.5500438621481631,0.013105271896241888
2020,4,11066,1.5422044149516108,-0.005057564748966459
2020,7,11066,1.5352768930570082,-0.004491960875899759
2020,10,11066,1.5266379629025588,-0.005626952501869398
2021,1,11066,1.492618092886798,-0.022284176630246844
2021,4,11066,1.4778042300707617,-0.009924750937050253
2021,7,11066,1.4755169410953388,-0.0015477618272302651
2021,10,11066,1.4836492738857407,0.005511514347212421
2022,1,11066,1.5170842235071034,0.022535615532500497
2022,4,11066,1.5479733503011543,0.02036085163593837
2022,7,11066,1.5626831097986538,0.009502592208475491
2022,10,11066,1.5690294147520496,0.004061159241820711
2023,1,11066,1.5797762478679178,0.006849350952140343
2023,4,11066,1.5958531633858697,0.010176704162788486
2017,1,11067,1.0367551883154074,0.03675518831540736
2017,4,11067,1.0771381788875907,0.03895132720560612
2017,7,11067,1.1277780720407173,0.047013367593584654
2017,10,11067,1.1712920202879584,0.038583786407996534
2018,1,11067,1.2017689248772463,0.02601990286059941
2018,4,11067,1.2319630611732189,0.025124743759751267
2018,7,11067,1.2582517765205394,0.021338882776473334
2018,10,11067,1.2911834777244795,0.026172584707177204
2019,1,11067,1.3175430000915895,0.02041500903772775
2019,4,11067,1.365453604481919,0.036363598293944754
2019,7,11067,1.416383162716003,0.03729863692688973
2019,10,11067,1.4534961563742688,0.02620265097411867
2020,1,11067,1.4958639504726046,0.02914888623030265
2020,4,11067,1.5106712615824651,0.009898835455712574
2020,7,11067,1.513260039791706,0.0017136608573125045
2020,10,11067,1.5164502178833148,0.0021081492986809724
2021,1,11067,1.5140059963430472,-0.0016118046681936615
2021,4,11067,1.5142741434465616,0.0001771109917412
2021,7,11067,1.5102155218550921,-0.0026802422857408192
2021,10,11067,1.4992027313486027,-0.0072921979327570385
2022,1,11067,1.4946751281974884,-0.003020007272159564
2022,4,11067,1.4915312965188325,-0.0021033545145340282
2022,7,11067,1.4843042906847015,-0.004845359833212104
2022,10,11067,1.5017842449415277,0.011776530167384225
2023,1,11067,1.5131586110347865,0.007573901598429522
2023,4,11067,1.5825667783762345,0.04586972365969122
2017,1,11068,1.0340031758350765,0.034003175835076505
2017,4,11068,1.0756566438966613,0.04028369451374725
2017,7,11068,1.1164846750045538,0.03795637886825065
2017,10,11068,1.1547359203411702,0.03426043025307113
2018,1,11068,1.1979265168193245,0.03740300766377258
2018,4,11068,1.2322638516553217,0.02866397425375311
2018,7,11068,1.2612890012380717,0.02355433014103281
2018,10,11068,1.2951480630583485,0.02684480859425631
2019,1,11068,1.3163340040756861,0.01635792973917538
2019,4,11068,1.340416043309605,0.018294778649913468
2019,7,11068,1.3647627910393767,0.01816357529536683
2019,10,11068,1.3850402241597068,0.014857844347358817
2020,1,11068,1.3995004752182507,0.010440311267722713
2020,4,11068,1.4116958843888145,0.008714115776675246
2020,7,11068,1.41959551444497,0.0055958440791059605
2020,10,11068,1.4279190040922234,0.0058632825777191755
2021,1,11068,1.4409290902969878,0.009111221412054338
2021,4,11068,1.4545207305266934,0.00943255315006808
2021,7,11068,1.4475373364044317,-0.004801165068120339
2021,10,11068,1.4611892975945562,0.009431163429632017
2022,1,11068,1.4752337543770897,0.009611661408726269
2022,4,11068,1.4853185697803655,0.006836079620164304
2022,7,11068,1.5136250700584983,0.019057528030716364
2022,10,11068,1.5382909698132932,0.016295911215213676
2023,1,11068,1.5667172671819298,0.018479142065097598
2023,4,11068,1.6010437209290813,0.02190979474483923
2017,1,11069,0.9780454667651252,-0.02195453323487484
