"tyear","tmonth","id_sepomex","cap_rate","delta_cap_rate","median_cap_rate","delta_median_cap_rate"
2023,5,11348,0.05213447364789533,-0.03125543573216061,0.056319802438647946,0.06394150720282443
2023,8,11348,0.060599927355753154,0.1623772739134497,0.05883420762009939,0.04464513497167388
2023,9,11348,0.05640497610777872,-0.06922370093528141,0.055607142857142855,-0.05485014404875033
2023,4,11349,0.06057430552279636,,0.0616363197058566,
2023,5,11349,0.06128240168860389,0.011689711663983582,0.0645,0.04646092284240155
2023,6,11349,0.04677582233185769,-0.23671688701854277,0.05133140707319112,-0.20416423142339346
2023,7,11349,0.047173864921369726,0.00850957972877664,0.04508356004663816,-0.12171587304521847
2023,8,11349,0.045076263534531265,-0.0444653282137214,0.04560810810810811,0.011635018639329031
2023,9,11349,0.051538449661503324,0.14336117548921545,0.05414223841371162,0.1871187089228623
2023,10,11349,0.04541553825259242,-0.11880278605827799,0.04649311147149196,-0.14127836540061678
2023,2,11350,0.037833247964207686,,0.04237380469429151,
2023,4,11350,0.03476260849597126,-0.0811624598327223,0.03387209302325581,-0.2006360234199367
2023,6,11350,0.04421541082519965,0.27192442507080283,0.04421541082519965,0.30536399964544114
2023,8,11350,0.06404459997021186,0.4484678254693719,0.06404459997021186,0.4484678254693719
2023,1,11352,0.047299058142015966,,0.050094168126955003,
2023,3,11352,0.04289165010435902,-0.09318172942098879,0.041107356999367704,-0.17939835041899055
2023,4,11352,0.03905127463623013,-0.08953666876384869,0.04036759356559696,-0.017995889003083465
2023,5,11352,0.035039879381479774,-0.102721237452996,0.03512997225628478,-0.1297481679407293
2023,6,11352,0.045505285161697814,0.29867128440372137,0.04454862068590149,0.2681086213477355
2023,7,11352,0.0506499303902436,0.11305599361183827,0.05170854714090587,0.16072161931761708
2023,8,11352,0.04181257432971627,-0.17447913535987036,0.04195098618961365,-0.18870305763383477
2023,9,11352,0.057290212311835086,0.3701670664922161,0.06411432231194936,0.5283150203468394
2021,8,11356,0.051024067956583284,,0.051024067956583284,
2022,6,11356,0.037032143968754656,-0.2742220396800672,0.03941245536886609,-0.22757128258761317
2022,7,11356,0.043749057487177556,0.18138062770792307,0.04392249443549724,0.11443182172795718
2022,10,11356,0.0458561747691295,0.04816371832854971,0.04536122757332588,0.03275618009221892
2022,12,11356,0.04269064985319557,-0.06903159567651018,0.04167267483777938,-0.08131509954363547
2023,1,11356,0.04449092460711019,0.04217023540530307,0.046829579271508534,0.1237478624495214
2023,2,11356,0.04169509144970573,-0.06284052718827182,0.042560539158726464,-0.09116118870150491
2023,3,11356,0.053773187755109086,0.2896766953964458,0.05538833788317266,0.3014012270052746
2023,4,11356,0.049774574107993325,-0.0743607328121596,0.047234255718035245,-0.14721658884829403
2023,5,11356,0.04197777692752623,-0.15664216761655836,0.04270833333333333,-0.09581864508926319
2023,6,11356,0.054692184365302335,0.30288424896171295,0.04369100366018108,0.02300886618960596
2023,7,11356,0.04969091728604512,-0.09144390807016489,0.05004909297052154,0.14552399298931795
2023,8,11356,0.04827138407374065,-0.02856725715351438,0.04492359932088285,-0.10240932143680526
2023,9,11356,2.1716239019112202,43.98781096878825,2.0292280728355134,44.170647577479876
2023,10,11356,6.729856018050359,2.0989970280431587,6.435516610840524,2.1714111868401
2023,2,11357,0.03739930684804957,,0.037082157183182286,
2023,3,11357,0.04585619866573733,0.22612429294605496,0.045835543766578245,0.23605386655784533
2023,4,11357,0.0475300702214437,0.03650262351460554,0.047869678157934456,0.04437897370030619
2023,5,11357,0.04593167521122509,-0.03362913210040819,0.04677293324931339,-0.02291105666101656
2023,6,11357,0.040431442370194304,-0.11974814364459763,0.04249871125098429,-0.09138238082153738
2023,7,11357,0.03916508750359993,-0.03132104106006173,0.03920029906542056,-0.07761205195339516
2023,8,11357,0.057490775800432506,0.46790877960244925,0.05861684650919551,0.49531630897435464
2023,9,11357,0.05083373590800286,-0.11579318246701353,0.05117925718694345,-0.12688484224556995
2023,10,11357,0.06533403693432902,0.28524956443430205,0.0695729150850353,0.35939673432353625
2023,4,11358,0.05163240110210014,,0.049728648107837704,
2023,5,11358,0.041895389961781083,-0.1885833494565684,0.03991486957340616,-0.19734657803586664
2023,6,11358,0.04074959845108333,-0.027348868497058976,0.03889553567616355,-0.025537698309848866
2023,7,11358,0.04342264346371398,0.0655968430177154,0.04333976833976833,0.1142607393456816
2023,8,11358,0.051202448761223096,0.1791647093989175,0.047544781643227244,0.09702436040943052
2023,9,11358,15.487400694865903,301.47382829461276,15.271735537190084,320.20739667684524
2023,2,11362,0.059027949386455274,,0.059027949386455274,
2023,3,11362,0.0621604729353429,0.05306847995648689,0.054200466525084416,-0.08178300129935712
2023,6,11362,0.06385793923404015,0.02730780862080784,0.0644602669558509,0.18929358156019127
2023,7,11362,0.04302263216147695,-0.3262759074670659,0.04067924528301887,-0.36892527437281253
2021,6,11371,0.055900277981734844,,0.05581637770806494,
2021,11,11371,0.05238100198523402,-0.06295632371722248,0.05228600601281978,-0.0632497456877259
2022,6,11371,0.05779829715065334,0.10342099158291074,0.062021857923497264,0.18620377904348606
2022,7,11371,0.052872026497158685,-0.08523210710955997,0.054436688244032035,-0.12229833051472572
2022,8,11371,0.04414851461776722,-0.16499295482574827,0.046624234807637735,-0.14351448790147125
2022,9,11371,0.054269747231299084,0.22925420483928716,0.056025641025641025,0.2016420485353081
2022,10,11371,0.05125384224361156,-0.055572490043737544,0.057175034342060525,0.02051548711229323
2022,11,11371,0.03519826252688016,-0.3132561192274833,0.037349529982465095,-0.3467510704232476
2022,12,11371,0.03956073901778982,0.12394010890674312,0.04157309371785835,0.11308211207413144
2023,1,11371,0.04758613706543977,0.20286269283394986,0.052792745433039814,0.26987771926056814
2023,2,11371,0.045717190197321525,-0.03927502805172223,0.04762408299354125,-0.09790478591522178
2023,3,11371,0.04439626204998546,-0.028893467460155864,0.045705796564507045,-0.04027975571297315
2023,4,11371,0.043547687037217495,-0.01911365897905004,0.046002483498948275,0.0064912321136882944
2023,5,11371,0.041123245830380975,-0.055673248610529025,0.04188374966424926,-0.08953285825955859
2023,6,11371,0.044620498186810506,0.08504319845895614,0.04558841564529162,0.08845115374673718
2023,7,11371,0.048217854416212604,0.08062115788894197,0.049124528878031766,0.0775660479243998
2023,8,11371,0.04047202165915051,-0.16064241868169193,0.03938257735103168,-0.19831134770142578
